ObjectID,TrackID,Mean_YFP,Area_YFP,Slice,Mean_CFP,Area_CFP,YFP/CFP_Ratio
16034,19.0,310.8,443,31,178.2,443,1.7441077441077444
16522,19.0,269.7,421,32,163.0,421,1.654601226993865
17037,19.0,273.5,431,33,164.7,431,1.660595021250759
17427,19.0,249.5,449,34,161.3,449,1.5468071915685058
18068,19.0,249.9,465,35,161.0,465,1.5521739130434784
18581,19.0,279.5,351,36,169.2,351,1.6518912529550829
19072,19.0,287.1,405,37,171.3,405,1.6760070052539404
19575,19.0,297.4,418,38,174.3,418,1.7062535857716579
20036,19.0,343.7,437,39,184.6,437,1.861863488624052
20758,19.0,325.9,387,40,179.8,387,1.8125695216907673
21173,19.0,349.3,395,41,190.0,395,1.838421052631579
21554,19.0,386.5,455,42,200.2,455,1.9305694305694308
22097,19.0,403.0,470,43,203.8,470,1.9774288518155052
22743,19.0,362.6,427,44,193.3,427,1.875840662183135
23167,19.0,405.0,438,45,209.2,438,1.9359464627151053
23690,19.0,427.5,482,46,218.5,482,1.9565217391304348
24230,19.0,423.0,489,47,215.7,489,1.96105702364395
24805,19.0,406.6,454,48,207.4,454,1.96046287367406
25323,19.0,420.2,468,49,205.3,468,2.0467608377983435
25870,19.0,410.9,459,50,202.7,459,2.0271336951159347
26448,19.0,418.4,436,51,206.2,436,2.02909796314258
27030,19.0,390.3,416,52,199.5,416,1.956390977443609
27606,19.0,376.0,378,53,193.3,378,1.9451629591308846
28252,19.0,366.7,361,54,186.3,361,1.9683306494900696
28790,19.0,348.1,357,55,183.9,357,1.8928765633496467
29379,19.0,344.8,357,56,184.9,357,1.8647917793401838
29820,19.0,389.5,382,57,194.4,382,2.0036008230452675
30251,19.0,415.0,417,58,205.0,417,2.024390243902439
30815,19.0,394.4,431,59,204.3,431,1.9304943710230051
31399,19.0,365.4,399,60,189.3,399,1.9302694136291598
6751,20.0,211.2,88,13,146.8,88,1.4386920980926428
7292,20.0,214.5,80,14,149.2,80,1.437667560321716
7838,20.0,209.6,91,15,147.2,91,1.423913043478261
8388,20.0,218.9,82,16,154.2,82,1.41958495460441
8902,20.0,210.4,105,17,145.6,105,1.4450549450549453
9486,20.0,237.8,62,18,158.2,62,1.5031605562579016
9887,20.0,233.4,79,19,157.7,79,1.4800253646163604
10563,20.0,219.8,53,20,150.7,53,1.4585268745852689
3530,21.0,207.5,152,7,146.4,152,1.4173497267759563
4080,21.0,203.8,133,8,145.2,133,1.403581267217631
4321,21.0,236.2,223,9,159.9,223,1.477173233270794
4960,21.0,228.7,176,10,155.9,176,1.4669660038486207
5600,21.0,216.3,171,11,152.4,171,1.419291338582677
5937,21.0,235.2,183,12,157.3,183,1.495232040686586
6489,21.0,252.4,258,13,168.6,258,1.4970344009489918
6864,21.0,246.2,253,14,166.6,253,1.4777911164465787
7522,21.0,261.7,294,15,173.2,294,1.5109699769053118
8028,21.0,274.1,291,16,175.0,291,1.5662857142857145
8531,21.0,257.0,316,17,170.4,316,1.5082159624413145
9173,21.0,281.9,349,18,180.0,349,1.566111111111111
9709,21.0,288.6,363,19,182.2,363,1.5839736553238202
10148,21.0,286.1,367,20,178.3,367,1.6045989904655076
10671,21.0,293.7,378,21,181.4,378,1.6190738699007716
11190,21.0,281.0,380,22,176.9,380,1.5884680610514414
11762,21.0,286.2,404,23,177.4,404,1.613303269447576
12182,21.0,286.7,407,24,178.1,407,1.6097697922515442
12722,21.0,284.2,407,25,177.1,407,1.6047430830039526
13246,21.0,282.2,409,26,173.8,409,1.623705408515535
13780,21.0,273.6,350,27,169.9,350,1.6103590347263097
14262,21.0,282.8,372,28,174.7,372,1.6187750429307386
14872,21.0,282.8,400,29,175.2,400,1.6141552511415527
15458,21.0,287.0,436,30,180.7,436,1.588267847260653
15978,21.0,287.4,450,31,181.6,450,1.5825991189427313
